Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,Kansas,8,598,20935,11519,2649,1393,.448,.350,.723,35.0,19.3,4.4,2.3,24.0,.055,-1.5,2.6
2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,.494,.326,.743,27.5,14.1,5.5,2.0,13.8,.078,-0.8,2.5
3,3,PHI,Joel Embiid,Kansas,6,328,10240,8535,3732,1080,.490,.338,.810,31.2,26.0,11.4,3.3,43.7,.205,5.9,20.4
4,4,ORL,Aaron Gordon,Arizona,8,528,15277,6887,3310,1313,.460,.323,.702,28.9,13.0,6.3,2.5,28.8,.090,-0.1,7.3
5,5,UTA,Dante Exum,,6,245,4545,1389,441,515,.407,.305,.764,18.6,5.7,1.8,2.1,3.1,.032,-3.3,-1.5
6,6,BOS,Marcus Smart,Oklahoma State,8,520,15484,5438,1867,2318,.382,.321,.780,29.8,10.5,3.6,4.5,29.5,.092,-0.2,7.2
7,7,LAL,Julius Randle,Kentucky,8,518,16145,9191,4814,1842,.472,.332,.743,31.2,17.7,9.3,3.6,31.4,.093,0.4,9.7
8,8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,.389,.354,.812,19.5,6.7,2.0,1.5,3.9,.028,-3.0,-1.7
9,9,CHH,Noah Vonleh,Indiana,7,339,5683,1660,1742,257,.459,.308,.691,16.8,4.9,5.1,0.8,9.2,.078,-2.4,-0.6
10,10,PHI,Elfrid Payton,Louisiana,8,500,13383,5036,2007,2868,.447,.287,.623,26.8,10.1,4.0,5.7,15.8,.057,-0.9,3.7
11,11,DEN,Doug McDermott,Creighton,8,527,11012,4846,1236,496,.476,.409,.820,20.9,9.2,2.3,0.9,19.2,.084,-1.9,0.4
12,12,ORL,Dario Saric,,5,356,8965,4180,2086,699,.441,.357,.838,25.2,11.7,5.9,2.0,16.4,.088,-0.8,2.6
13,13,MIN,Zach LaVine,UCLA,8,478,15219,9466,1876,1860,.461,.386,.830,31.8,19.8,3.9,3.9,23.7,.075,0.5,9.5
14,14,PHO,T.J. Warren,NC State,7,332,9553,5142,1372,397,.507,.357,.780,28.8,15.5,4.1,1.2,19.6,.099,-0.2,4.2
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-.019,-5.9,-1.4
16,16,CHI,Jusuf Nurkic,,8,411,9815,5015,3513,903,.500,.232,.672,23.9,12.2,8.5,2.2,23.3,.114,0.5,6.1
17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-3.4,-0.3
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,.419,.317,.768,12.6,4.2,1.3,1.9,1.3,.026,-3.4,-0.8
19,19,CHI,Gary Harris,Michigan State,8,468,13473,5526,1162,965,.448,.363,.812,28.8,11.8,2.5,2.1,20.8,.074,-1.4,2.1
20,20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,.403,.308,.836,12.3,4.2,2.6,0.7,1.5,.054,-2.7,-0.2
21,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1
22,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,1.7,0.2
23,23,UTA,Rodney Hood,Duke,8,448,10977,4656,1160,736,.420,.366,.841,24.5,10.4,2.6,1.6,17.4,.076,-1.2,2.2
24,24,CHH,Shabazz Napier,UConn,6,345,5986,2433,657,849,.397,.345,.815,17.4,7.1,1.9,2.5,8.1,.065,-0.7,2.0
25,25,HOU,Clint Capela,,8,471,12614,5851,5023,465,.624,.000,.527,26.8,12.4,10.7,1.0,52.9,.201,2.0,12.8
26,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0
27,27,PHO,Bogdan Bogdanovic,,5,316,9041,4501,1083,1073,.439,.384,.822,28.6,14.2,3.4,3.4,16.2,.086,0.4,5.5
28,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2
29,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4
30,30,SAS,Kyle Anderson,UCLA,8,505,10583,3366,2220,1167,.476,.334,.711,21.0,6.7,4.4,2.3,27.0,.122,1.7,10.0
